,Size,Availability,Furnishing,Price,Flat Size,Location,Balcony,Ready to Move,Under Construction,furnished,semi-furnished,unfurnished,furnished,semi-furnished,unfurnished
66,991,Under Construction,unfurnished,136.0,3,Kharadi,3,False,True,False,False,True,False,False,True
67,751,Under Construction,unfurnished,68.0,2,other,2,False,True,False,False,True,False,False,True
68,1225,Ready to Move,semi-furnished,140.0,3,Baner,2,True,False,False,True,False,False,True,False
69,980,Under Construction,unfurnished,106.0,3,Kharadi,2,False,True,False,False,True,False,False,True
70,1700,Under Construction,unfurnished,195.0,3,Kondhwa,2,False,True,False,False,True,False,False,True
71,1070,Under Construction,unfurnished,123.0,3,Hadapsar,2,False,True,False,False,True,False,False,True
72,890,Under Construction,unfurnished,145.0,2,Balewadi,2,False,True,False,False,True,False,False,True
73,1156,Under Construction,unfurnished,160.0,3,Chinchwad,3,False,True,False,False,True,False,False,True
74,1246,Under Construction,unfurnished,171.0,3,Kharadi,2,False,True,False,False,True,False,False,True
75,1015,Under Construction,unfurnished,150.0,3,Baner,2,False,True,False,False,True,False,False,True
76,1345,Ready to Move,semi-furnished,245.00000000000003,3,Baner,2,True,False,False,True,False,False,True,False
77,1167,Ready to Move,unfurnished,150.0,3,Balewadi,3,True,False,False,False,True,False,False,True
78,1129,Under Construction,unfurnished,195.0,3,Aundh,2,False,True,False,False,True,False,False,True
79,1446,Ready to Move,furnished,200.0,3,Baner,3,True,False,True,False,False,True,False,False
80,750,Ready to Move,semi-furnished,51.0,2,Hadapsar,1,True,False,False,True,False,False,True,False
81,803,Ready to Move,unfurnished,95.0,2,Chinchwad,2,True,False,False,False,True,False,False,True
82,850,Ready to Move,unfurnished,83.0,2,Kharadi,2,True,False,False,False,True,False,False,True
83,1160,Ready to Move,semi-furnished,162.0,3,Baner,3,True,False,False,True,False,False,True,False
84,1405,Under Construction,semi-furnished,239.0,3,Balewadi,3,False,True,False,True,False,False,True,False
85,1800,Ready to Move,unfurnished,290.0,3,Viman Nagar,2,True,False,False,False,True,False,False,True
86,1180,Ready to Move,unfurnished,175.0,3,Viman Nagar,3,True,False,False,False,True,False,False,True
87,736,Ready to Move,unfurnished,100.0,2,Ravet,2,True,False,False,False,True,False,False,True
88,690,Ready to Move,semi-furnished,70.0,2,Lohegaon,2,True,False,False,True,False,False,True,False
89,536,Ready to Move,semi-furnished,60.0,1,Pimple Saudagar,2,True,False,False,True,False,False,True,False
90,788,Ready to Move,unfurnished,75.0,2,Kondhwa,1,True,False,False,False,True,False,False,True
91,1202,Ready to Move,unfurnished,139.0,3,Baner,2,True,False,False,False,True,False,False,True
92,1100,Ready to Move,unfurnished,175.0,3,Kharadi,3,True,False,False,False,True,False,False,True
93,803,Ready to Move,unfurnished,125.0,2,Balewadi,3,True,False,False,False,True,False,False,True
94,722,Ready to Move,unfurnished,70.0,2,Chinchwad,1,True,False,False,False,True,False,False,True
95,765,Ready to Move,unfurnished,73.0,2,Chinchwad,1,True,False,False,False,True,False,False,True
96,532,Ready to Move,unfurnished,74.0,1,Ravet,2,True,False,False,False,True,False,False,True
97,636,Ready to Move,semi-furnished,65.0,2,Ravet,1,True,False,False,True,False,False,True,False
98,636,Ready to Move,semi-furnished,72.5,2,Ravet,1,True,False,False,True,False,False,True,False
99,861,Ready to Move,semi-furnished,75.0,2,Kondhwa,1,True,False,False,True,False,False,True,False
100,780,Ready to Move,semi-furnished,114.99999999999999,2,Baner,2,True,False,False,True,False,False,True,False
101,1008,Under Construction,unfurnished,144.0,3,Kharadi,2,False,True,False,False,True,False,False,True
102,1637,Ready to Move,furnished,178.0,3,Wakad,3,True,False,True,False,False,True,False,False
103,890,Under Construction,unfurnished,103.0,2,Balewadi,2,False,True,False,False,True,False,False,True
104,625,Ready to Move,unfurnished,46.0,2,Chinchwad,1,True,False,False,False,True,False,False,True
105,1040,Ready to Move,unfurnished,88.0,2,Kharadi,2,True,False,False,False,True,False,False,True
106,3200,Ready to Move,unfurnished,340.0,4,Kharadi,2,True,False,False,False,True,False,False,True
107,630,Ready to Move,semi-furnished,75.0,2,Wakad,2,True,False,False,True,False,False,True,False
108,3076,Ready to Move,unfurnished,470.0,4,Kharadi,2,True,False,False,False,True,False,False,True
109,1200,Ready to Move,unfurnished,117.0,2,Kharadi,2,True,False,False,False,True,False,False,True
110,1950,Ready to Move,unfurnished,310.0,3,Hadapsar,2,True,False,False,False,True,False,False,True
111,1900,Ready to Move,furnished,350.0,3,Viman Nagar,3,True,False,True,False,False,True,False,False
112,1150,Ready to Move,unfurnished,140.0,3,Baner,3,True,False,False,False,True,False,False,True
113,1256,Ready to Move,unfurnished,85.0,2,Wakad,2,True,False,False,False,True,False,False,True
114,1550,Ready to Move,unfurnished,237.0,4,Baner,3,True,False,False,False,True,False,False,True
115,1150,Ready to Move,semi-furnished,175.0,3,Wakad,3,True,False,False,True,False,False,True,False
116,705,Ready to Move,semi-furnished,103.0,2,Kharadi,2,True,False,False,True,False,False,True,False
117,1006,Ready to Move,unfurnished,180.0,2,Hadapsar,3,True,False,False,False,True,False,False,True
118,1181,Under Construction,unfurnished,163.0,3,Hadapsar,2,False,True,False,False,True,False,False,True
119,804,Under Construction,unfurnished,90.1,2,other,2,False,True,False,False,True,False,False,True
120,1209,Ready to Move,furnished,145.0,3,Chinchwad,2,True,False,True,False,False,True,False,False
121,1507,Ready to Move,unfurnished,268.0,3,Kharadi,2,True,False,False,False,True,False,False,True
122,1050,Ready to Move,semi-furnished,138.0,3,Wakad,2,True,False,False,True,False,False,True,False
123,850,Ready to Move,unfurnished,83.0,2,Kharadi,2,True,False,False,False,True,False,False,True
124,900,Ready to Move,unfurnished,82.0,3,Ravet,2,True,False,False,False,True,False,False,True
125,1700,Ready to Move,semi-furnished,348.0,3,Kharadi,3,True,False,False,True,False,False,True,False
126,1765,Ready to Move,furnished,465.00000000000006,4,Pimple Nilakh,2,True,False,True,False,False,True,False,False
127,900,Ready to Move,semi-furnished,120.0,2,Balewadi,2,True,False,False,True,False,False,True,False
128,1100,Ready to Move,unfurnished,134.0,3,Wakad,2,True,False,False,False,True,False,False,True
