Size,Availability,Furnishing,Price,Flat Size,Location,Balcony
1246 sqft,Poss. by May '28,unfurnished,1.71 Cr,3 BHK,Kharadi,2
1015 sqft,Poss. by Dec '26,unfurnished,1.50 Cr,3 BHK,Baner,2
1345 sqft,Ready to Move,semi-furnished,2.45 Cr,3 BHK,Baner,2
1167 sqft,Ready to Move,unfurnished,1.50 Cr,3 BHK,Balewadi,3
1129 sqft,Poss. by Dec '27,unfurnished,1.95 Cr,3 BHK,Aundh,2
1446 sqft,Ready to Move,furnished,2 Cr,3 BHK,Baner,3
750 sqft,Ready to Move,semi-furnished,51 Lac,2 BHK,Hadapsar,1
803 sqft,Ready to Move,unfurnished,95 Lac,2 BHK,Chinchwad,2
850 sqft,Ready to Move,unfurnished,83 Lac,2 BHK,Kharadi,2
1160 sqft,Ready to Move,semi-furnished,1.62 Cr,3 BHK,Baner,3
1405 sqft,Poss. by Jun '27,semi-furnished,2.39 Cr,3 BHK,Balewadi,3
1800 sqft,Ready to Move,unfurnished,2.90 Cr,3 BHK,Viman Nagar,2
1180 sqft,Ready to Move,unfurnished,1.75 Cr,3 BHK,Viman Nagar,3
736 sqft,Ready to Move,unfurnished,1 Cr,2 BHK,Ravet,2
690 sqft,Ready to Move,semi-furnished,70 Lac,2 BHK,Lohegaon,2
536 sqft,Ready to Move,semi-furnished,60 Lac,1 BHK,Pimple Saudagar,2
788 sqft,Ready to Move,unfurnished,75 Lac,2 BHK,Kondhwa,1
1202 sqft,Ready to Move,unfurnished,1.39 Cr,3 BHK,Baner,2
1100 sqft,Ready to Move,unfurnished,1.75 Cr,3 BHK,Kharadi,3
803 sqft,Ready to Move,unfurnished,1.25 Cr,2 BHK,Balewadi,3
722 sqft,Ready to Move,unfurnished,70 Lac,2 BHK,Chinchwad,1
765 sqft,Ready to Move,unfurnished,73 Lac,2 BHK,Chinchwad,1
532 sqft,Ready to Move,unfurnished,74 Lac,1 BHK,Ravet,2
636 sqft,Ready to Move,semi-furnished,65 Lac,2 BHK,Ravet,1
636 sqft,Ready to Move,semi-furnished,72.5 Lac,2 BHK,Ravet,1
861 sqft,Ready to Move,semi-furnished,75 Lac,2 BHK,Kondhwa,1
780 sqft,Ready to Move,semi-furnished,1.15 Cr,2 BHK,Baner,2
1008 sqft,Poss. by Dec '25,unfurnished,1.44 Cr,3 BHK,Kharadi,2
1637 sqft,Ready to Move,furnished,1.78 Cr,3 BHK,Wakad,3
890 sqft,Poss. by Dec '27,unfurnished,1.03 Cr,2 BHK,Balewadi,2
625 sqft,Ready to Move,unfurnished,46 Lac,2 BHK,Chinchwad,1
1040 sqft,Ready to Move,unfurnished,88 Lac,2 BHK,Kharadi,2
3200 sqft,Ready to Move,unfurnished,3.40 Cr,4 BHK,Kharadi,2
630 sqft,Ready to Move,semi-furnished,75 Lac,2 BHK,Wakad,2
3076 sqft,Ready to Move,unfurnished,4.70 Cr,4 BHK,Kharadi,2
1200 sqft,Ready to Move,unfurnished,1.17 Cr,2 BHK,Kharadi,2
1950 sqft,Ready to Move,unfurnished,3.10 Cr,3 BHK,Hadapsar,2
1900 sqft,Ready to Move,furnished,3.50 Cr,3 BHK,Viman Nagar,3
1150 sqft,Ready to Move,unfurnished,1.40 Cr,3 BHK,Baner,3
1256 sqft,Ready to Move,unfurnished,85 Lac,2 BHK,Wakad,2
1550 sqft,Ready to Move,unfurnished,2.37 Cr,4 BHK,Baner,3
1150 sqft,Ready to Move,semi-furnished,1.75 Cr,3 BHK,Wakad,3
705 sqft,Ready to Move,semi-furnished,1.03 Cr,2 BHK,Kharadi,2
1006 sqft,Ready to Move,unfurnished,1.80 Cr,2 BHK,Hadapsar,3
1181 sqft,Poss. by Sep '27,unfurnished,1.63 Cr,3 BHK,Hadapsar,2
804 sqft,Poss. by Dec '27,unfurnished,90.1 Lac,2 BHK,Tathawade,2
1209 sqft,Ready to Move,furnished,1.45 Cr,3 BHK,Chinchwad,2
1507 sqft,Ready to Move,unfurnished,2.68 Cr,3 BHK,Kharadi,2
1050 sqft,Ready to Move,semi-furnished,1.38 Cr,3 BHK,Wakad,2
850 sqft,Ready to Move,unfurnished,83 Lac,2 BHK,Kharadi,2
900 sqft,Ready to Move,unfurnished,82 Lac,3 BHK,Ravet,2
1700 sqft,Ready to Move,semi-furnished,3.48 Cr,3 BHK,Kharadi,3
1765 sqft,Ready to Move,furnished,4.65 Cr,4 BHK,Pimple Nilak,2
900 sqft,Ready to Move,semi-furnished,1.20 Cr,2 BHK,Balewadi,2
1100 sqft,Ready to Move,unfurnished,1.34 Cr,3 BHK,Wakad,2
1250 sqft,Ready to Move,semi-furnished,1.85 Cr,3 BHK,Kharadi,3
1570 sqft,Ready to Move,unfurnished,1.49 Cr,4 BHK,Balewadi,2
1900 sqft,Ready to Move,unfurnished,3 Cr,4 BHK,Baner,3
1507 sqft,Ready to Move,unfurnished,2.68 Cr,3 BHK,Kharadi,3
1050 sqft,Ready to Move,semi-furnished,1.38 Cr,3 BHK,Wakad,3
900 sqft,Ready to Move,unfurnished,82 Lac,3 BHK,Ravet,2
1765 sqft,Ready to Move,furnished,4.65 Cr,4 BHK,Pimple Nilak,3
900 sqft,Ready to Move,semi-furnished,1.20 Cr,2 BHK,Balewadi,2
1570 sqft,Ready to Move,unfurnished,1.49 Cr,4 BHK,Balewadi,2
1900 sqft,Ready to Move,unfurnished,3 Cr,4 BHK,Baner,2
1500 sqft,Ready to Move,semi-furnished,97 Lac,3 BHK,Kondhwa,2
2650 sqft,Ready to Move,unfurnished,5.20 Cr,4 BHK,Kharadi,3
750 sqft,Ready to Move,semi-furnished,1.12 Cr,2 BHK,Baner,2
1355 sqft,Ready to Move,unfurnished,1.85 Cr,3 BHK,Pimple Gurav,3
876 sqft,Ready to Move,unfurnished,1.05 Cr,2 BHK,Balewadi,2
1305 sqft,Ready to Move,unfurnished,2.10 Cr,3 BHK,Baner,3
1700 sqft,Ready to Move,unfurnished,3.60 Cr,3 BHK,Kharadi,2
855 sqft,Poss. by Mar '27,semi-furnished,84.5 Lac,2 BHK,Kharadi,2
1950 sqft,Ready to Move,semi-furnished,2.30 Cr,4 BHK,Chinchwad,2
2106 sqft,Ready to Move,unfurnished,3 Cr,3 BHK,Bibwewadi,2
835 sqft,Ready to Move,unfurnished,1.24 Cr,2 BHK,Kothrud,3
779 sqft,Ready to Move,unfurnished,67 Lac,2 BHK,Kondhwa,1
826 sqft,Ready to Move,semi-furnished,1.25 Cr,2 BHK,Kharadi,2
690 sqft,Ready to Move,furnished,47 Lac,2 BHK,Hadapsar,1
954 sqft,Ready to Move,furnished,1.45 Cr,2 BHK,Kharadi,3
2650 sqft,Ready to Move,unfurnished,5.20 Cr,4 BHK,Kharadi,3
750 sqft,Ready to Move,semi-furnished,1.12 Cr,2 BHK,Baner,2
1355 sqft,Ready to Move,unfurnished,1.85 Cr,3 BHK,Pimple Gurav,3
876 sqft,Ready to Move,unfurnished,1.05 Cr,2 BHK,Balewadi,2
1700 sqft,Ready to Move,unfurnished,3.60 Cr,3 BHK,Kharadi,2
2106 sqft,Ready to Move,unfurnished,3 Cr,3 BHK,Bibwewadi,3
835 sqft,Ready to Move,unfurnished,1.24 Cr,2 BHK,Kothrud,2
779 sqft,Ready to Move,unfurnished,67 Lac,2 BHK,Kondhwa,2
